Rank,Category Label,Avg EV,Samples,Min EV,Max EV,Variant,Total_Cumulative_Samples
1,PAT_5_OAK_OR_WILD_ROYAL,100.0,1,100.0,100.0,BONUS_DEUCES,1200
2,3_DEUCES,86.13918,4,72.53546,125.0,BONUS_DEUCES,1200
3,1_DEUCE_3_ROYAL,24.6,1,24.6,24.6,BONUS_DEUCES,1200
4,2_DEUCES,17.57098,43,14.21122,29.79592,BONUS_DEUCES,1200
5,PAT_FLUSH_OR_STR_FLUSH,15.0,4,15.0,15.0,BONUS_DEUCES,1200
6,4_ROYAL,14.31373,1,14.31373,14.31373,BONUS_DEUCES,1200
7,3_KIND,10.60639,135,9.45578,31.2,BONUS_DEUCES,1200
8,1_DEUCE_3_SF_GAP,9.41972,10,8.95833,10.10638,BONUS_DEUCES,1200
9,4_STR_FLUSH_CONN,8.90686,2,8.87755,8.93617,BONUS_DEUCES,1200
10,4_STR_FLUSH_GAP,8.16327,1,8.16327,8.16327,BONUS_DEUCES,1200
11,1_DEUCE_2_ROYAL,6.78396,42,6.34694,7.48724,BONUS_DEUCES,1200
12,PAT_STRAIGHT_OR_FULL_HOUSE,6.66667,9,5.0,20.0,BONUS_DEUCES,1200
13,1_DEUCE_3_FLUSH,5.03715,31,4.78723,8.125,BONUS_DEUCES,1200
14,1_DEUCE_2_SF_CONN,4.93643,5,4.79167,5.0,BONUS_DEUCES,1200
15,1_DEUCE_2_SF_GAP,4.80827,4,4.72364,4.90248,BONUS_DEUCES,1200
16,1_DEUCE_GENERIC,4.67052,131,4.53469,4.87425,BONUS_DEUCES,1200
17,3_ROYAL,4.22867,12,3.8914,4.66939,BONUS_DEUCES,1200
18,4_FLUSH,4.20388,33,3.97959,4.5,BONUS_DEUCES,1200
19,2_PAIR,3.92683,40,3.40426,4.70588,BONUS_DEUCES,1200
20,1_PAIR,3.0339,364,2.57143,3.73969,BONUS_DEUCES,1200
21,3_STR_FLUSH_CONN,2.39764,4,2.32568,2.50425,BONUS_DEUCES,1200
22,3_STR_FLUSH_GAP,2.05909,17,1.83954,2.38095,BONUS_DEUCES,1200
23,3_FLUSH,1.71344,2,1.71344,1.71344,BONUS_DEUCES,1200
24,2_ROYAL,1.67886,92,1.54142,1.91462,BONUS_DEUCES,1200
25,JUNK_HIGH_CARDS,1.45216,30,1.42888,1.50105,BONUS_DEUCES,1200
26,JUNK_LOW,1.44882,46,1.38934,1.52336,BONUS_DEUCES,1200
27,DISCARD_ALL,1.43215,136,1.36343,1.49688,BONUS_DEUCES,1200
